------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 05:51AM on August 19, 2022
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.973244410589292e+24 34216026218.044174 26623910437.00864 9.818634933837371
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.208751859010017 6.152341551250569 1.88993805916064 -0.25281039086602725 -2.6824947170971263 8.041777290864731
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
   5885             nan             nan             nan   -6.2077064314    1.8898951007   -2.6811282299
   5886             nan             nan             nan   -6.2077066090    1.8898951080   -2.6811284620
   5887             nan             nan             nan   -6.2077067866    1.8898951153   -2.6811286941
   5888             nan             nan             nan   -6.2077069640    1.8898951226   -2.6811289261
   5889             nan             nan             nan   -6.2077071415    1.8898951299   -2.6811291580
   5890             nan             nan             nan   -6.2077073188    1.8898951372   -2.6811293899
   5891             nan             nan             nan   -6.2077074962    1.8898951445   -2.6811296216
   5892             nan             nan             nan   -6.2077076734    1.8898951518   -2.6811298533
   5893             nan             nan             nan   -6.2077078506    1.8898951590   -2.6811300849
   5894             nan             nan             nan   -6.2077080277    1.8898951663   -2.6811303165
   5895             nan             nan             nan   -6.2077082048    1.8898951736   -2.6811305479
   5896             nan             nan             nan   -6.2077083818    1.8898951809   -2.6811307793
   5897             nan             nan             nan   -6.2077085588    1.8898951881   -2.6811310106
   5898             nan             nan             nan   -6.2077087357    1.8898951954   -2.6811312418
   5899             nan             nan             nan   -6.2077089125    1.8898952027   -2.6811314729
   5900             nan             nan             nan   -6.2077090893    1.8898952099   -2.6811317040
   5901             nan             nan             nan   -6.2077092660    1.8898952172   -2.6811319350
   5902             nan             nan             nan   -6.2077094426    1.8898952245   -2.6811321659
   5903             nan             nan             nan   -6.2077096192    1.8898952317   -2.6811323967
   5904             nan             nan             nan   -6.2077097957    1.8898952390   -2.6811326274
   5905             nan             nan             nan   -6.2077099722    1.8898952462   -2.6811328581
   5906             nan             nan             nan   -6.2077101486    1.8898952535   -2.6811330887
   5907             nan             nan             nan   -6.2077103250    1.8898952607   -2.6811333192
   5908             nan             nan             nan   -6.2077105013    1.8898952680   -2.6811335496
   5909             nan             nan             nan   -6.2077106775    1.8898952752   -2.6811337800
   5910             nan             nan             nan   -6.2077108537    1.8898952824   -2.6811340103
   5911             nan             nan             nan   -6.2077110298    1.8898952897   -2.6811342405
   5912             nan             nan             nan   -6.2077112058    1.8898952969   -2.6811344706
   5913             nan             nan             nan   -6.2077113818    1.8898953041   -2.6811347006
   5914             nan             nan             nan   -6.2077115578    1.8898953114   -2.6811349306
   5915             nan             nan             nan   -6.2077117336    1.8898953186   -2.6811351605
   5916             nan             nan             nan   -6.2077119095    1.8898953258   -2.6811353903
   5917             nan             nan             nan   -6.2077120852    1.8898953331   -2.6811356200
   5918             nan             nan             nan   -6.2077122609    1.8898953403   -2.6811358497
   5919             nan             nan             nan   -6.2077124365    1.8898953475   -2.6811360793
   5920             nan             nan             nan   -6.2077126121    1.8898953547   -2.6811363088
   5921             nan             nan             nan   -6.2077127876    1.8898953619   -2.6811365382
   5922             nan             nan             nan   -6.2077129631    1.8898953691   -2.6811367675
   5923             nan             nan             nan   -6.2077131385    1.8898953763   -2.6811369968
   5924             nan             nan             nan   -6.2077133138    1.8898953835   -2.6811372260
   5925             nan             nan             nan   -6.2077134891    1.8898953907   -2.6811374551
   5926             nan             nan             nan   -6.2077136644    1.8898953979   -2.6811376841
   5927             nan             nan             nan   -6.2077138395    1.8898954051   -2.6811379131
   5928             nan             nan             nan   -6.2077140146    1.8898954123   -2.6811381420
   5929             nan             nan             nan   -6.2077141897    1.8898954195   -2.6811383708
   5930             nan             nan             nan   -6.2077143647    1.8898954267   -2.6811385995
   5931             nan             nan             nan   -6.2077145396    1.8898954339   -2.6811388282
   5932             nan             nan             nan   -6.2077147144    1.8898954411   -2.6811390567
   5933             nan             nan             nan   -6.2077148893    1.8898954483   -2.6811392852
   5934             nan             nan             nan   -6.2077150640    1.8898954555   -2.6811395136
   5935             nan             nan             nan   -6.2077152387    1.8898954626   -2.6811397420
   5936             nan             nan             nan   -6.2077154133    1.8898954698   -2.6811399702
   5937             nan             nan             nan   -6.2077155879    1.8898954770   -2.6811401984
   5938             nan             nan             nan   -6.2077157624    1.8898954842   -2.6811404265
   5939             nan             nan             nan   -6.2077159369    1.8898954913   -2.6811406546
   5940             nan             nan             nan   -6.2077161113    1.8898954985   -2.6811408825
   5941             nan             nan             nan   -6.2077162856    1.8898955057   -2.6811411104
   5942             nan             nan             nan   -6.2077164599    1.8898955128   -2.6811413382
   5943             nan             nan             nan   -6.2077166341    1.8898955200   -2.6811415659
   5944             nan             nan             nan   -6.2077168083    1.8898955271   -2.6811417936
   5945             nan             nan             nan   -6.2077169824    1.8898955343   -2.6811420212
   5946             nan             nan             nan   -6.2077171564    1.8898955414   -2.6811422487
   5947             nan             nan             nan   -6.2077173304    1.8898955486   -2.6811424761
   5948             nan             nan             nan   -6.2077175043    1.8898955557   -2.6811427034
   5949             nan             nan             nan   -6.2077176782    1.8898955629   -2.6811429307
   5950             nan             nan             nan   -6.2077178520    1.8898955700   -2.6811431579
   5951             nan             nan             nan   -6.2077180258    1.8898955772   -2.6811433850
   5952             nan             nan             nan   -6.2077181995    1.8898955843   -2.6811436120
   5953             nan             nan             nan   -6.2077183731    1.8898955914   -2.6811438390
   5954             nan             nan             nan   -6.2077185467    1.8898955986   -2.6811440659
   5955             nan             nan             nan   -6.2077187202    1.8898956057   -2.6811442927
   5956             nan             nan             nan   -6.2077188937    1.8898956128   -2.6811445194
   5957             nan             nan             nan   -6.2077190671    1.8898956199   -2.6811447461
   5958             nan             nan             nan   -6.2077192404    1.8898956271   -2.6811449727
   5959             nan             nan             nan   -6.2077194137    1.8898956342   -2.6811451992
   5960             nan             nan             nan   -6.2077195869    1.8898956413   -2.6811454256
   5961             nan             nan             nan   -6.2077197601    1.8898956484   -2.6811456520
   5962             nan             nan             nan   -6.2077199332    1.8898956555   -2.6811458782
   5963             nan             nan             nan   -6.2077201063    1.8898956627   -2.6811461044
   5964             nan             nan             nan   -6.2077202793    1.8898956698   -2.6811463306
   5965             nan             nan             nan   -6.2077204522    1.8898956769   -2.6811465566
   5966             nan             nan             nan   -6.2077206251    1.8898956840   -2.6811467826
   5967             nan             nan             nan   -6.2077207979    1.8898956911   -2.6811470085
   5968             nan             nan             nan   -6.2077209707    1.8898956982   -2.6811472343
   5969             nan             nan             nan   -6.2077211434    1.8898957053   -2.6811474601
   5970             nan             nan             nan   -6.2077213160    1.8898957124   -2.6811476857
   5971             nan             nan             nan   -6.2077214886    1.8898957195   -2.6811479113
   5972             nan             nan             nan   -6.2077216612    1.8898957265   -2.6811481368
   5973             nan             nan             nan   -6.2077218336    1.8898957336   -2.6811483623
   5974             nan             nan             nan   -6.2077220061    1.8898957407   -2.6811485877
   5975             nan             nan             nan   -6.2077221784    1.8898957478   -2.6811488129
   5976             nan             nan             nan   -6.2077223507    1.8898957549   -2.6811490382
   5977             nan             nan             nan   -6.2077225230    1.8898957620   -2.6811492633
   5978             nan             nan             nan   -6.2077226952    1.8898957690   -2.6811494884
   5979             nan             nan             nan   -6.2077228673    1.8898957761   -2.6811497134
   5980             nan             nan             nan   -6.2077230394    1.8898957832   -2.6811499383
   5981             nan             nan             nan   -6.2077232114    1.8898957902   -2.6811501631
   5982             nan             nan             nan   -6.2077233833    1.8898957973   -2.6811503879
   5983             nan             nan             nan   -6.2077235552    1.8898958044   -2.6811506126
   5984             nan             nan             nan   -6.2077237271    1.8898958114   -2.6811508372
   5985             nan             nan             nan   -6.2077238989    1.8898958185   -2.6811510617
   5986             nan             nan             nan   -6.2077240706    1.8898958256   -2.6811512862
   5987             nan             nan             nan   -6.2077242422    1.8898958326   -2.6811515106
   5988             nan             nan             nan   -6.2077244139    1.8898958397   -2.6811517349
   5989             nan             nan             nan   -6.2077245854    1.8898958467   -2.6811519592
   5990             nan             nan             nan   -6.2077247569    1.8898958538   -2.6811521833
   5991             nan             nan             nan   -6.2077249284    1.8898958608   -2.6811524074
   5992             nan             nan             nan   -6.2077250997    1.8898958678   -2.6811526314
   5993             nan             nan             nan   -6.2077252711    1.8898958749   -2.6811528554
   5994             nan             nan             nan   -6.2077254423    1.8898958819   -2.6811530792
   5995             nan             nan             nan   -6.2077256135    1.8898958890   -2.6811533030
   5996             nan             nan             nan   -6.2077257847    1.8898958960   -2.6811535268
   5997             nan             nan             nan   -6.2077259558    1.8898959030   -2.6811537504
   5998             nan             nan             nan   -6.2077261268    1.8898959100   -2.6811539740
   5999             nan             nan             nan   -6.2077262978    1.8898959171   -2.6811541975
   6000             nan             nan             nan   -6.2077264688    1.8898959241   -2.6811544209
   6001             nan             nan             nan   -6.2077266396    1.8898959311   -2.6811546442
   6002             nan             nan             nan   -6.2077268104    1.8898959381   -2.6811548675
   6003             nan             nan             nan   -6.2077269812    1.8898959452   -2.6811550907
   6004             nan             nan             nan   -6.2077271519    1.8898959522   -2.6811553138
   6005             nan             nan             nan   -6.2077273225    1.8898959592   -2.6811555369
   6006             nan             nan             nan   -6.2077274931    1.8898959662   -2.6811557598
   6007             nan             nan             nan   -6.2077276636    1.8898959732   -2.6811559827
   6008             nan             nan             nan   -6.2077278341    1.8898959802   -2.6811562056
   6009             nan             nan             nan   -6.2077280045    1.8898959872   -2.6811564283
   6010             nan             nan             nan   -6.2077281749    1.8898959942   -2.6811566510
   6011             nan             nan             nan   -6.2077283452    1.8898960012   -2.6811568736
   6012             nan             nan             nan   -6.2077285154    1.8898960082   -2.6811570961
   6013             nan             nan             nan   -6.2077286856    1.8898960152   -2.6811573186
   6014             nan             nan             nan   -6.2077288558    1.8898960222   -2.6811575410
   6015             nan             nan             nan   -6.2077290258    1.8898960292   -2.6811577633
   6016             nan             nan             nan   -6.2077291959    1.8898960362   -2.6811579855
   6017             nan             nan             nan   -6.2077293658    1.8898960431   -2.6811582077
   6018             nan             nan             nan   -6.2077295357    1.8898960501   -2.6811584297
   6019             nan             nan             nan   -6.2077297056    1.8898960571   -2.6811586518
   6020             nan             nan             nan   -6.2077298754    1.8898960641   -2.6811588737
   6021             nan             nan             nan   -6.2077300451    1.8898960711   -2.6811590956
   6022             nan             nan             nan   -6.2077302148    1.8898960780   -2.6811593173
   6023             nan             nan             nan   -6.2077303844    1.8898960850   -2.6811595391
   6024             nan             nan             nan   -6.2077305540    1.8898960920   -2.6811597607
   6025             nan             nan             nan   -6.2077307235    1.8898960989   -2.6811599823
   6026             nan             nan             nan   -6.2077308929    1.8898961059   -2.6811602038
   6027             nan             nan             nan   -6.2077310623    1.8898961129   -2.6811604252
   6028             nan             nan             nan   -6.2077312317    1.8898961198   -2.6811606465
   6029             nan             nan             nan   -6.2077314010    1.8898961268   -2.6811608678
   6030             nan             nan             nan   -6.2077315702    1.8898961337   -2.6811610890
   6031             nan             nan             nan   -6.2077317394    1.8898961407   -2.6811613102
   6032             nan             nan             nan   -6.2077319085    1.8898961476   -2.6811615312
   6033             nan             nan             nan   -6.2077320775    1.8898961546   -2.6811617522
   6034             nan             nan             nan   -6.2077322466    1.8898961615   -2.6811619731
   6035             nan             nan             nan   -6.2077324155    1.8898961685   -2.6811621939
   6036             nan             nan             nan   -6.2077325844    1.8898961754   -2.6811624147
   6037             nan             nan             nan   -6.2077327532    1.8898961823   -2.6811626354
   6038             nan             nan             nan   -6.2077329220    1.8898961893   -2.6811628560
   6039             nan             nan             nan   -6.2077330907    1.8898961962   -2.6811630765
   6040             nan             nan             nan   -6.2077332594    1.8898962031   -2.6811632970
   6041             nan             nan             nan   -6.2077334280    1.8898962101   -2.6811635174
   6042             nan             nan             nan   -6.2077335966    1.8898962170   -2.6811637377
   6043             nan             nan             nan   -6.2077337651    1.8898962239   -2.6811639580
   6044             nan             nan             nan   -6.2077339335    1.8898962308   -2.6811641782
   6045             nan             nan             nan   -6.2077341019    1.8898962378   -2.6811643983
   6046             nan             nan             nan   -6.2077342703    1.8898962447   -2.6811646183
   6047             nan             nan             nan   -6.2077344385    1.8898962516   -2.6811648383
   6048             nan             nan             nan   -6.2077346068    1.8898962585   -2.6811650582
   6049             nan             nan             nan   -6.2077347749    1.8898962654   -2.6811652780
   6050             nan             nan             nan   -6.2077349431    1.8898962723   -2.6811654977
   6051             nan             nan             nan   -6.2077351111    1.8898962792   -2.6811657174
   6052             nan             nan             nan   -6.2077352791    1.8898962861   -2.6811659370
   6053             nan             nan             nan   -6.2077354471    1.8898962930   -2.6811661565
   6054             nan             nan             nan   -6.2077356149    1.8898962999   -2.6811663760
   6055             nan             nan             nan   -6.2077357828    1.8898963068   -2.6811665953
   6056             nan             nan             nan   -6.2077359506    1.8898963137   -2.6811668146
   6057             nan             nan             nan   -6.2077361183    1.8898963206   -2.6811670339
   6058             nan             nan             nan   -6.2077362860    1.8898963275   -2.6811672530
   6059             nan             nan             nan   -6.2077364536    1.8898963344   -2.6811674721
   6060             nan             nan             nan   -6.2077366211    1.8898963413   -2.6811676911
   6061             nan             nan             nan   -6.2077367886    1.8898963482   -2.6811679101
   6062             nan             nan             nan   -6.2077369561    1.8898963550   -2.6811681290
   6063             nan             nan             nan   -6.2077371235    1.8898963619   -2.6811683478
   6064             nan             nan             nan   -6.2077372908    1.8898963688   -2.6811685665
   6065             nan             nan             nan   -6.2077374581    1.8898963757   -2.6811687851
   6066             nan             nan             nan   -6.2077376253    1.8898963825   -2.6811690037
   6067             nan             nan             nan   -6.2077377925    1.8898963894   -2.6811692222
   6068             nan             nan             nan   -6.2077379596    1.8898963963   -2.6811694407
   6069             nan             nan             nan   -6.2077381267    1.8898964031   -2.6811696590
   6070             nan             nan             nan   -6.2077382937    1.8898964100   -2.6811698773
   6071             nan             nan             nan   -6.2077384606    1.8898964169   -2.6811700956
   6072             nan             nan             nan   -6.2077386275    1.8898964237   -2.6811703137
   6073             nan             nan             nan   -6.2077387944    1.8898964306   -2.6811705318
   6074             nan             nan             nan   -6.2077389612    1.8898964374   -2.6811707498
   6075             nan             nan             nan   -6.2077391279    1.8898964443   -2.6811709677
   6076             nan             nan             nan   -6.2077392946    1.8898964511   -2.6811711856
   6077             nan             nan             nan   -6.2077394612    1.8898964580   -2.6811714034
   6078             nan             nan             nan   -6.2077396278    1.8898964648   -2.6811716211
   6079             nan             nan             nan   -6.2077397943    1.8898964717   -2.6811718388
   6080             nan             nan             nan   -6.2077399607    1.8898964785   -2.6811720564
   6081             nan             nan             nan   -6.2077401271    1.8898964853   -2.6811722739
   6082             nan             nan             nan   -6.2077402935    1.8898964922   -2.6811724913
   6083             nan             nan             nan   -6.2077404598    1.8898964990   -2.6811727087
   6084             nan             nan             nan   -6.2077406260    1.8898965058   -2.6811729260
   6085             nan             nan             nan   -6.2077407922    1.8898965127   -2.6811731432
   6086             nan             nan             nan   -6.2077409583    1.8898965195   -2.6811733603
   6087             nan             nan             nan   -6.2077411244    1.8898965263   -2.6811735774
   6088             nan             nan             nan   -6.2077412904    1.8898965331   -2.6811737944
   6089             nan             nan             nan   -6.2077414564    1.8898965400   -2.6811740114
   6090             nan             nan             nan   -6.2077416223    1.8898965468   -2.6811742282
   6091             nan             nan             nan   -6.2077417882    1.8898965536   -2.6811744450
   6092             nan             nan             nan   -6.2077419540    1.8898965604   -2.6811746617
   6093             nan             nan             nan   -6.2077421197    1.8898965672   -2.6811748784
   6094             nan             nan             nan   -6.2077422854    1.8898965740   -2.6811750950
   6095             nan             nan             nan   -6.2077424510    1.8898965808   -2.6811753115
   6096             nan             nan             nan   -6.2077426166    1.8898965876   -2.6811755279
   6097             nan             nan             nan   -6.2077427822    1.8898965944   -2.6811757443
   6098             nan             nan             nan   -6.2077429476    1.8898966012   -2.6811759606
   6099             nan             nan             nan   -6.2077431131    1.8898966080   -2.6811761768
   6100             nan             nan             nan   -6.2077432784    1.8898966148   -2.6811763930
   6101             nan             nan             nan   -6.2077434437    1.8898966216   -2.6811766090
   6102             nan             nan             nan   -6.2077436090    1.8898966284   -2.6811768250
   6103             nan             nan             nan   -6.2077437742    1.8898966352   -2.6811770410
   6104             nan             nan             nan   -6.2077439394    1.8898966420   -2.6811772569
   6105             nan             nan             nan   -6.2077441045    1.8898966488   -2.6811774727
   6106             nan             nan             nan   -6.2077442695    1.8898966556   -2.6811776884
   6107             nan             nan             nan   -6.2077444345    1.8898966623   -2.6811779040
   6108             nan             nan             nan   -6.2077445994    1.8898966691   -2.6811781196
   6109             nan             nan             nan   -6.2077447643    1.8898966759   -2.6811783352
   6110             nan             nan             nan   -6.2077449291    1.8898966827   -2.6811785506
   6111             nan             nan             nan   -6.2077450939    1.8898966894   -2.6811787660
   6112             nan             nan             nan   -6.2077452586    1.8898966962   -2.6811789813
   6113             nan             nan             nan   -6.2077454233    1.8898967030   -2.6811791965
   6114             nan             nan             nan   -6.2077455879    1.8898967097   -2.6811794117
   6115             nan             nan             nan   -6.2077457525    1.8898967165   -2.6811796268
   6116             nan             nan             nan   -6.2077459170    1.8898967233   -2.6811798418
   6117             nan             nan             nan   -6.2077460814    1.8898967300   -2.6811800568
   6118             nan             nan             nan   -6.2077462458    1.8898967368   -2.6811802716
   6119             nan             nan             nan   -6.2077464102    1.8898967435   -2.6811804865
   6120             nan             nan             nan   -6.2077465744    1.8898967503   -2.6811807012
   6121             nan             nan             nan   -6.2077467387    1.8898967570   -2.6811809159
   6122             nan             nan             nan   -6.2077469029    1.8898967638   -2.6811811305
   6123             nan             nan             nan   -6.2077470670    1.8898967705   -2.6811813450
   6124             nan             nan             nan   -6.2077472311    1.8898967773   -2.6811815595
   6125             nan             nan             nan   -6.2077473951    1.8898967840   -2.6811817739
   6126             nan             nan             nan   -6.2077475591    1.8898967907   -2.6811819882
   6127             nan             nan             nan   -6.2077477230    1.8898967975   -2.6811822024
   6128             nan             nan             nan   -6.2077478868    1.8898968042   -2.6811824166
   6129             nan             nan             nan   -6.2077480506    1.8898968109   -2.6811826307
   6130             nan             nan             nan   -6.2077482144    1.8898968177   -2.6811828448
   6131             nan             nan             nan   -6.2077483781    1.8898968244   -2.6811830588
   6132             nan             nan             nan   -6.2077485417    1.8898968311   -2.6811832727
   6133             nan             nan             nan   -6.2077487053    1.8898968378   -2.6811834865
   6134             nan             nan             nan   -6.2077488689    1.8898968446   -2.6811837003
   6135             nan             nan             nan   -6.2077490324    1.8898968513   -2.6811839140
   6136             nan             nan             nan   -6.2077491958    1.8898968580   -2.6811841276
   6137             nan             nan             nan   -6.2077493592    1.8898968647   -2.6811843411
   6138             nan             nan             nan   -6.2077495225    1.8898968714   -2.6811845546
   6139             nan             nan             nan   -6.2077496858    1.8898968781   -2.6811847680
   6140             nan             nan             nan   -6.2077498490    1.8898968848   -2.6811849814
   6141             nan             nan             nan   -6.2077500122    1.8898968915   -2.6811851947
   6142             nan             nan             nan   -6.2077501753    1.8898968982   -2.6811854079
   6143             nan             nan             nan   -6.2077503383    1.8898969049   -2.6811856210
   6144             nan             nan             nan   -6.2077505013    1.8898969116   -2.6811858341
   6145             nan             nan             nan   -6.2077506643    1.8898969183   -2.6811860471
   6146             nan             nan             nan   -6.2077508272    1.8898969250   -2.6811862600
   6147             nan             nan             nan   -6.2077509900    1.8898969317   -2.6811864729
   6148             nan             nan             nan   -6.2077511528    1.8898969384   -2.6811866857
   6149             nan             nan             nan   -6.2077513156    1.8898969451   -2.6811868984
   6150             nan             nan             nan   -6.2077514783    1.8898969518   -2.6811871110
   6151             nan             nan             nan   -6.2077516409    1.8898969585   -2.6811873236
   6152             nan             nan             nan   -6.2077518035    1.8898969651   -2.6811875361
   6153             nan             nan             nan   -6.2077519660    1.8898969718   -2.6811877486
   6154             nan             nan             nan   -6.2077521285    1.8898969785   -2.6811879610
   6155             nan             nan             nan   -6.2077522909    1.8898969852   -2.6811881733
   6156             nan             nan             nan   -6.2077524533    1.8898969918   -2.6811883855
   6157             nan             nan             nan   -6.2077526156    1.8898969985   -2.6811885977
   6158             nan             nan             nan   -6.2077527779    1.8898970052   -2.6811888098
   6159             nan             nan             nan   -6.2077529401    1.8898970118   -2.6811890218
   6160             nan             nan             nan   -6.2077531023    1.8898970185   -2.6811892338
   6161             nan             nan             nan   -6.2077532644    1.8898970252   -2.6811894457
   6162             nan             nan             nan   -6.2077534264    1.8898970318   -2.6811896575
   6163             nan             nan             nan   -6.2077535884    1.8898970385   -2.6811898692
   6164             nan             nan             nan   -6.2077537504    1.8898970451   -2.6811900809
   6165             nan             nan             nan   -6.2077539123    1.8898970518   -2.6811902926
   6166             nan             nan             nan   -6.2077540741    1.8898970584   -2.6811905041
   6167             nan             nan             nan   -6.2077542359    1.8898970651   -2.6811907156
   6168             nan             nan             nan   -6.2077543977    1.8898970717   -2.6811909270
   6169             nan             nan             nan   -6.2077545594    1.8898970784   -2.6811911384
   6170             nan             nan             nan   -6.2077547210    1.8898970850   -2.6811913496
   6171             nan             nan             nan   -6.2077548826    1.8898970917   -2.6811915608
   6172             nan             nan             nan   -6.2077550441    1.8898970983   -2.6811917720
   6173             nan             nan             nan   -6.2077552056    1.8898971049   -2.6811919830
   6174             nan             nan             nan   -6.2077553670    1.8898971116   -2.6811921941
   6175             nan             nan             nan   -6.2077555284    1.8898971182   -2.6811924050
   6176             nan             nan             nan   -6.2077556897    1.8898971248   -2.6811926159
   6177             nan             nan             nan   -6.2077558510    1.8898971315   -2.6811928267
   6178             nan             nan             nan   -6.2077560122    1.8898971381   -2.6811930374
   6179             nan             nan             nan   -6.2077561734    1.8898971447   -2.6811932480
   6180             nan             nan             nan   -6.2077563345    1.8898971513   -2.6811934586
   6181             nan             nan             nan   -6.2077564955    1.8898971579   -2.6811936692
   6182             nan             nan             nan   -6.2077566566    1.8898971646   -2.6811938796
   6183             nan             nan             nan   -6.2077568175    1.8898971712   -2.6811940900
   6184             nan             nan             nan   -6.2077569784    1.8898971778   -2.6811943003
   6185             nan             nan             nan   -6.2077571393    1.8898971844   -2.6811945106
   6186             nan             nan             nan   -6.2077573001    1.8898971910   -2.6811947208
   6187             nan             nan             nan   -6.2077574608    1.8898971976   -2.6811949309
   6188             nan             nan             nan   -6.2077576215    1.8898972042   -2.6811951409
   6189             nan             nan             nan   -6.2077577822    1.8898972108   -2.6811953509
   6190             nan             nan             nan   -6.2077579428    1.8898972174   -2.6811955608
   6191             nan             nan             nan   -6.2077581033    1.8898972240   -2.6811957707
   6192             nan             nan             nan   -6.2077582638    1.8898972306   -2.6811959805
   6193             nan             nan             nan   -6.2077584242    1.8898972372   -2.6811961902
   6194             nan             nan             nan   -6.2077585846    1.8898972438   -2.6811963998
   6195             nan             nan             nan   -6.2077587450    1.8898972504   -2.6811966094
   6196             nan             nan             nan   -6.2077589052    1.8898972570   -2.6811968189
   6197             nan             nan             nan   -6.2077590655    1.8898972636   -2.6811970283
   6198             nan             nan             nan   -6.2077592257    1.8898972701   -2.6811972377
   6199             nan             nan             nan   -6.2077593858    1.8898972767   -2.6811974470
   6200             nan             nan             nan   -6.2077595459    1.8898972833   -2.6811976562
   6201             nan             nan             nan   -6.2077597059    1.8898972899   -2.6811978654
   6202             nan             nan             nan   -6.2077598659    1.8898972964   -2.6811980745
   6203             nan             nan             nan   -6.2077600258    1.8898973030   -2.6811982836
   6204             nan             nan             nan   -6.2077601856    1.8898973096   -2.6811984925
   6205             nan             nan             nan   -6.2077603455    1.8898973161   -2.6811987014
   6206             nan             nan             nan   -6.2077605052    1.8898973227   -2.6811989103
   6207             nan             nan             nan   -6.2077606649    1.8898973293   -2.6811991190
   6208             nan             nan             nan   -6.2077608246    1.8898973358   -2.6811993277
   6209             nan             nan             nan   -6.2077609842    1.8898973424   -2.6811995363
   6210             nan             nan             nan   -6.2077611438    1.8898973490   -2.6811997449
   6211             nan             nan             nan   -6.2077613033    1.8898973555   -2.6811999534
   6212             nan             nan             nan   -6.2077614628    1.8898973621   -2.6812001618
   6213             nan             nan             nan   -6.2077616222    1.8898973686   -2.6812003702
   6214             nan             nan             nan   -6.2077617815    1.8898973752   -2.6812005785
   6215             nan             nan             nan   -6.2077619408    1.8898973817   -2.6812007867
   6216             nan             nan             nan   -6.2077621001    1.8898973882   -2.6812009949
   6217             nan             nan             nan   -6.2077622593    1.8898973948   -2.6812012030
   6218             nan             nan             nan   -6.2077624184    1.8898974013   -2.6812014110
   6219             nan             nan             nan   -6.2077625775    1.8898974079   -2.6812016190
   6220             nan             nan             nan   -6.2077627366    1.8898974144   -2.6812018269
   6221             nan             nan             nan   -6.2077628956    1.8898974209   -2.6812020347
   6222             nan             nan             nan   -6.2077630545    1.8898974275   -2.6812022424
   6223             nan             nan             nan   -6.2077632134    1.8898974340   -2.6812024501
   6224             nan             nan             nan   -6.2077633723    1.8898974405   -2.6812026578
   6225             nan             nan             nan   -6.2077635310    1.8898974470   -2.6812028653
   6226             nan             nan             nan   -6.2077636898    1.8898974536   -2.6812030728
   6227             nan             nan             nan   -6.2077638485    1.8898974601   -2.6812032802
   6228             nan             nan             nan   -6.2077640071    1.8898974666   -2.6812034876
   6229             nan             nan             nan   -6.2077641657    1.8898974731   -2.6812036949
   6230             nan             nan             nan   -6.2077643243    1.8898974796   -2.6812039021
   6231             nan             nan             nan   -6.2077644827    1.8898974862   -2.6812041093
   6232             nan             nan             nan   -6.2077646412    1.8898974927   -2.6812043164
   6233             nan             nan             nan   -6.2077647996    1.8898974992   -2.6812045234
   6234             nan             nan             nan   -6.2077649579    1.8898975057   -2.6812047304
   6235             nan             nan             nan   -6.2077651162    1.8898975122   -2.6812049373
   6236             nan             nan             nan   -6.2077652744    1.8898975187   -2.6812051441
   6237             nan             nan             nan   -6.2077654326    1.8898975252   -2.6812053508
   6238             nan             nan             nan   -6.2077655907    1.8898975317   -2.6812055575
   6239             nan             nan             nan   -6.2077657488    1.8898975382   -2.6812057642
   6240             nan             nan             nan   -6.2077659068    1.8898975447   -2.6812059707
   6241             nan             nan             nan   -6.2077660648    1.8898975512   -2.6812061772
   6242             nan             nan             nan   -6.2077662227    1.8898975577   -2.6812063837
   6243             nan             nan             nan   -6.2077663806    1.8898975641   -2.6812065900
   6244             nan             nan             nan   -6.2077665385    1.8898975706   -2.6812067963
   6245             nan             nan             nan   -6.2077666962    1.8898975771   -2.6812070026
   6246             nan             nan             nan   -6.2077668540    1.8898975836   -2.6812072087
   6247             nan             nan             nan   -6.2077670116    1.8898975901   -2.6812074148
   6248             nan             nan             nan   -6.2077671693    1.8898975966   -2.6812076209
   6249             nan             nan             nan   -6.2077673268    1.8898976030   -2.6812078268
   6250             nan             nan             nan   -6.2077674844    1.8898976095   -2.6812080327
   6251             nan             nan             nan   -6.2077676418    1.8898976160   -2.6812082386
   6252             nan             nan             nan   -6.2077677993    1.8898976224   -2.6812084443
   6253             nan             nan             nan   -6.2077679566    1.8898976289   -2.6812086500
   6254             nan             nan             nan   -6.2077681140    1.8898976354   -2.6812088557
   6255             nan             nan             nan   -6.2077682712    1.8898976418   -2.6812090613
   6256             nan             nan             nan   -6.2077684285    1.8898976483   -2.6812092668
   6257             nan             nan             nan   -6.2077685856    1.8898976548   -2.6812094722
   6258             nan             nan             nan   -6.2077687428    1.8898976612   -2.6812096776
   6259             nan             nan             nan   -6.2077688998    1.8898976677   -2.6812098829
   6260             nan             nan             nan   -6.2077690568    1.8898976741   -2.6812100881
   6261             nan             nan             nan   -6.2077692138    1.8898976806   -2.6812102933
   6262             nan             nan             nan   -6.2077693707    1.8898976870   -2.6812104984
