------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 05:51AM on August 19, 2022
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.973244410589292e+24 34216026218.044174 26623910437.00864 9.818634933837371
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.208751859010017 6.152341551250569 1.88993805916064 -0.25281039086602725 -2.6824947170971263 8.041777290864731
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
   1882   -0.2122230071   -0.1358046980 -1859.9648480589   -6.2054828146    1.8898037285   -2.6782217217
   1883   -0.2118093259   -0.1355664864 -1861.0052020229   -6.2054845507    1.8898037998   -2.6782239910
   1884   -0.2113964051   -0.1353286422 -1862.0454882948   -6.2054862849    1.8898038711   -2.6782262578
   1885   -0.2109842436   -0.1350911651 -1863.0857069694   -6.2054880173    1.8898039422   -2.6782285222
   1886   -0.2105728400   -0.1348540545 -1864.1258581413   -6.2054897479    1.8898040134   -2.6782307843
   1887   -0.2101621932   -0.1346173101 -1865.1659419049   -6.2054914766    1.8898040844   -2.6782330439
   1888   -0.2097523018   -0.1343809316 -1866.2059583546   -6.2054932035    1.8898041554   -2.6782353012
   1889   -0.2093431647   -0.1341449185 -1867.2459075848   -6.2054949286    1.8898042262   -2.6782375560
   1890   -0.2089347806   -0.1339092703 -1868.2857896898   -6.2054966518    1.8898042970   -2.6782398085
   1891   -0.2085271483   -0.1336739868 -1869.3256047637   -6.2054983733    1.8898043678   -2.6782420586
   1892   -0.2081202665   -0.1334390674 -1870.3653529008   -6.2055000929    1.8898044384   -2.6782443063
   1893   -0.2077141341   -0.1332045118 -1871.4050341950   -6.2055018106    1.8898045090   -2.6782465516
   1894   -0.2073087498   -0.1329703196 -1872.4446487406   -6.2055035266    1.8898045795   -2.6782487946
   1895   -0.2069041123   -0.1327364904 -1873.4841966310   -6.2055052408    1.8898046500   -2.6782510351
   1896   -0.2065002205   -0.1325030238 -1874.5236779605   -6.2055069531    1.8898047203   -2.6782532734
   1897   -0.2060970731   -0.1322699193 -1875.5630928227   -6.2055086637    1.8898047906   -2.6782555092
   1898   -0.2056946689   -0.1320371766 -1876.6024413116   -6.2055103724    1.8898048609   -2.6782577428
   1899   -0.2052930067   -0.1318047953 -1877.6417235203   -6.2055120794    1.8898049310   -2.6782599739
   1900   -0.2048920853   -0.1315727750 -1878.6809395429   -6.2055137845    1.8898050011   -2.6782622027
   1901   -0.2044919033   -0.1313411151 -1879.7200894724   -6.2055154879    1.8898050711   -2.6782644292
   1902   -0.2040924598   -0.1311098155 -1880.7591734026   -6.2055171894    1.8898051410   -2.6782666533
   1903   -0.2036937533   -0.1308788756 -1881.7981914267   -6.2055188892    1.8898052108   -2.6782688751
   1904   -0.2032957827   -0.1306482950 -1882.8371436382   -6.2055205872    1.8898052806   -2.6782710946
   1905   -0.2028985468   -0.1304180734 -1883.8760301299   -6.2055222834    1.8898053503   -2.6782733117
   1906   -0.2025020444   -0.1301882103 -1884.9148509953   -6.2055239778    1.8898054199   -2.6782755265
   1907   -0.2021062742   -0.1299587054 -1885.9536063272   -6.2055256705    1.8898054895   -2.6782777390
   1908   -0.2017112351   -0.1297295581 -1886.9922962187   -6.2055273613    1.8898055590   -2.6782799491
   1909   -0.2013169258   -0.1295007682 -1888.0309207628   -6.2055290504    1.8898056284   -2.6782821570
   1910   -0.2009233452   -0.1292723352 -1889.0694800522   -6.2055307378    1.8898056977   -2.6782843625
   1911   -0.2005304920   -0.1290442587 -1890.1079741796   -6.2055324233    1.8898057670   -2.6782865657
   1912   -0.2001383651   -0.1288165383 -1891.1464032380   -6.2055341072    1.8898058362   -2.6782887666
   1913   -0.1997469632   -0.1285891736 -1892.1847673197   -6.2055357892    1.8898059053   -2.6782909652
   1914   -0.1993562851   -0.1283621642 -1893.2230665173   -6.2055374695    1.8898059743   -2.6782931616
   1915   -0.1989663297   -0.1281355096 -1894.2613009235   -6.2055391480    1.8898060433   -2.6782953556
   1916   -0.1985770957   -0.1279092096 -1895.2994706304   -6.2055408248    1.8898061122   -2.6782975473
   1917   -0.1981885820   -0.1276832636 -1896.3375757304   -6.2055424998    1.8898061810   -2.6782997368
   1918   -0.1978007873   -0.1274576713 -1897.3756163158   -6.2055441731    1.8898062498   -2.6783019239
   1919   -0.1974137105   -0.1272324322 -1898.4135924789   -6.2055458447    1.8898063185   -2.6783041088
   1920   -0.1970273504   -0.1270075460 -1899.4515043114   -6.2055475145    1.8898063871   -2.6783062914
   1921   -0.1966417057   -0.1267830122 -1900.4893519055   -6.2055491825    1.8898064556   -2.6783084718
   1922   -0.1962567754   -0.1265588305 -1901.5271353534   -6.2055508488    1.8898065241   -2.6783106498
   1923   -0.1958725581   -0.1263350004 -1902.5648547466   -6.2055525134    1.8898065925   -2.6783128256
   1924   -0.1954890528   -0.1261115215 -1903.6025101772   -6.2055541763    1.8898066608   -2.6783149992
   1925   -0.1951062582   -0.1258883934 -1904.6401017365   -6.2055558374    1.8898067291   -2.6783171705
   1926   -0.1947241732   -0.1256656158 -1905.6776295166   -6.2055574968    1.8898067973   -2.6783193395
   1927   -0.1943427966   -0.1254431881 -1906.7150936088   -6.2055591545    1.8898068654   -2.6783215063
   1928   -0.1939621272   -0.1252211101 -1907.7524941045   -6.2055608105    1.8898069334   -2.6783236708
   1929   -0.1935821638   -0.1249993812 -1908.7898310952   -6.2055624647    1.8898070014   -2.6783258331
   1930   -0.1932029052   -0.1247780011 -1909.8271046724   -6.2055641173    1.8898070693   -2.6783279931
   1931   -0.1928243503   -0.1245569694 -1910.8643149272   -6.2055657681    1.8898071372   -2.6783301509
   1932   -0.1924464980   -0.1243362857 -1911.9014619508   -6.2055674172    1.8898072049   -2.6783323065
   1933   -0.1920693469   -0.1241159495 -1912.9385458341   -6.2055690646    1.8898072726   -2.6783344598
   1934   -0.1916928960   -0.1238959605 -1913.9755666686   -6.2055707103    1.8898073402   -2.6783366109
   1935   -0.1913171442   -0.1236763182 -1915.0125245446   -6.2055723543    1.8898074078   -2.6783387598
   1936   -0.1909420901   -0.1234570223 -1916.0494195535   -6.2055739966    1.8898074753   -2.6783409065
   1937   -0.1905677327   -0.1232380723 -1917.0862517858   -6.2055756372    1.8898075427   -2.6783430510
   1938   -0.1901940708   -0.1230194678 -1918.1230213323   -6.2055772762    1.8898076100   -2.6783451932
   1939   -0.1898211032   -0.1228012084 -1919.1597282836   -6.2055789134    1.8898076773   -2.6783473332
